d_nm,amp_scale
110.4491736,24.45938226
110.5356406,24.54495112
110.6221754,24.63124461
110.7087779,24.71826396
110.7954482,24.80601045
110.8821863,24.89448534
110.9689923,24.9836899
111.0558664,25.07362542
111.1428084,25.16429319
111.2298184,25.25569452
111.3168966,25.34783072
111.404043,25.44070311
111.4912576,25.53431303
111.5785405,25.62866181
111.6658917,25.72375081
111.7533113,25.8195814
111.8407993,25.91615493
111.9283558,26.01347279
112.0159809,26.11153636
112.1036745,26.21034705
112.1914368,26.30990625
112.2792679,26.4102154
112.3671676,26.51127591
112.4551362,26.61308921
112.5431737,26.71565676
112.6312801,26.81898
112.7194554,26.9230604
112.8076998,27.02789943
112.8960133,27.13349857
112.9843959,27.23985932
113.0728477,27.34698316
113.1613687,27.45487162
113.2499591,27.56352621
113.3386188,27.67294845
113.4273479,27.78313989
113.5161465,27.89410206
113.6050145,28.00583653
113.6939522,28.11834486
113.7829595,28.23162862
113.8720365,28.3456894
113.9611832,28.46052878
114.0503997,28.57614836
114.139686,28.69254976
114.2290422,28.8097346
114.3184684,28.9277045
114.4079646,29.0464611
114.4975309,29.16600605
114.5871673,29.286341
114.6768738,29.40746762
114.7666506,29.52938757
114.8564977,29.65210255
114.9464151,29.77561424
115.0364029,29.89992435
115.1264612,30.02503458
115.2165899,30.15094665
115.3067892,30.27766228
115.3970591,30.40518323
115.4873997,30.53351122
115.5778111,30.66264802
115.6682932,30.79259538
115.7588461,30.92335509
115.8494699,31.05492892
115.9401647,31.18731865
116.0309305,31.3205261
116.1217673,31.45455306
116.2126752,31.58940135
116.3036544,31.7250728
116.3947047,31.86156925
116.4858263,31.99889252
116.5770193,32.13704449
116.6682836,32.276027
116.7596194,32.41584193
116.8510267,32.55649115
116.9425056,32.69797655
117.034056,32.84030003
117.1256782,32.98319421
117.2173721,33.126661
117.3091377,33.27070232
117.4009752,33.41532007
117.4928846,33.56051619
117.584866,33.70629258
117.6769193,33.85265117
117.7690447,33.9995939
117.8612423,34.14712269
117.953512,34.29523948
118.045854,34.4439462
118.1382682,34.59324481
118.2307548,34.74313724
118.3233138,34.89362544
118.4159453,35.04471138
118.5086493,35.19639699
118.6014258,35.34868424
118.694275,35.5015751
118.7871969,35.65507153
118.8801915,35.80917549
118.9732589,35.96388896
119.0663992,36.11921392
119.1596124,36.27515234
119.2528986,36.4317062
119.3462578,36.58887749
119.4396901,36.74666819
119.5331955,36.90508031
119.6267742,37.06411582
119.7204261,37.22377673
119.8141513,37.38406505
119.9079499,37.54498276
120.0018219,37.70653188
120.0957674,37.86871442
120.1897865,38.03153239
120.2838792,38.1949878
120.3780455,38.35908267
120.4722855,38.52381903
120.5665994,38.6891989
120.660987,38.8552243
120.7554486,39.02189727
120.8499841,39.18921983
120.9445936,39.35719403
121.0392772,39.52582189
121.1340349,39.69510547
121.2288668,39.86504681
121.3237729,40.03564795
121.4187533,40.20691093
121.5138081,40.37883783
121.6089373,40.55143068
121.704141,40.72469154
121.7994192,40.89862248
121.894772,41.07322556
121.9901994,41.24850284
122.0857016,41.42445639
122.1812785,41.60108828
122.2769302,41.77840058
122.3726568,41.95639537
122.4684584,42.13507473
122.564335,42.31444073
122.6602866,42.49449546
122.7563133,42.67524101
122.8524152,42.85667945
122.9485924,43.03881289
123.0448448,43.2216434
123.1411726,43.40517309
123.2375758,43.58940405
