d_nm,amp_scale
108.6489089,4.519174805
108.7339666,4.532934624
108.8190908,4.546831115
108.9042817,4.560864488
108.9895394,4.575034955
109.0748637,4.58934273
109.1602549,4.603788027
109.2457129,4.618371065
109.3312378,4.633092063
109.4168296,4.647951243
109.5024885,4.662948826
109.5882144,4.67808504
109.6740075,4.693360112
109.7598677,4.70877427
109.8457951,4.724327745
109.9317898,4.740020772
110.0178518,4.755853584
110.1039812,4.77182642
110.190178,4.787939517
110.2764423,4.804193118
110.3627741,4.820587464
110.4491736,4.837122802
110.5356406,4.853799377
110.6221754,4.870617439
110.7087779,4.887577238
110.7954482,4.904679028
110.8821863,4.921923062
110.9689923,4.939309597
111.0558664,4.956838892
111.1428084,4.974511208
111.2298184,4.992326807
111.3168966,5.010285954
111.404043,5.028388914
111.4912576,5.046635957
111.5785405,5.065027353
111.6658917,5.083563373
111.7533113,5.102244293
111.8407993,5.121070388
111.9283558,5.140041936
112.0159809,5.159159219
112.1036745,5.178422517
112.1914368,5.197832115
112.2792679,5.217388299
112.3671676,5.237091356
112.4551362,5.256941578
112.5431737,5.276939255
112.6312801,5.297084681
112.7194554,5.317378152
112.8076998,5.337819967
112.8960133,5.358410423
112.9843959,5.379149825
113.0728477,5.400038473
113.1613687,5.421076675
113.2499591,5.442264738
113.3386188,5.463602972
113.4273479,5.485091687
113.5161465,5.506731197
113.6050145,5.528521817
113.6939522,5.550463865
113.7829595,5.57255766
113.8720365,5.594803523
113.9611832,5.617201777
114.0503997,5.639752747
114.139686,5.66245676
114.2290422,5.685314146
114.3184684,5.708325235
114.4079646,5.73149036
114.4975309,5.754809856
114.5871673,5.778284059
114.6768738,5.801913309
114.7666506,5.825697946
114.8564977,5.849638313
114.9464151,5.873734754
115.0364029,5.897987615
115.1264612,5.922397246
115.2165899,5.946963997
115.3067892,5.971688219
115.3970591,5.996570268
115.4873997,6.0216105
115.5778111,6.046809272
115.6682932,6.072166946
115.7588461,6.097683882
115.8494699,6.123360445
115.9401647,6.149197002
116.0309305,6.175193919
116.1217673,6.201351567
116.2126752,6.227670318
116.3036544,6.254150545
116.3947047,6.280792624
116.4858263,6.307596932
116.5770193,6.33456385
116.6682836,6.361693758
116.7596194,6.38898704
116.8510267,6.416444082
116.9425056,6.444065271
117.034056,6.471850995
117.1256782,6.499748623
117.2173721,6.527758547
117.3091377,6.555881159
117.4009752,6.584116855
117.4928846,6.612466028
117.584866,6.640929075
117.6769193,6.669506392
117.7690447,6.698198378
117.8612423,6.72700543
117.953512,6.75592795
118.045854,6.784966336
118.1382682,6.814120992
118.2307548,6.843392318
118.3233138,6.87278072
118.4159453,6.9022866
118.5086493,6.931910365
118.6014258,6.961652421
118.694275,6.991513174
118.7871969,7.021493033
118.8801915,7.051592407
118.9732589,7.081811706
119.0663992,7.11215134
119.1596124,7.142611722
119.2528986,7.173193264
119.3462578,7.20389638
119.4396901,7.234721484
119.5331955,7.265668992
119.6267742,7.29673932
119.7204261,7.327932886
119.8141513,7.359250108
119.9079499,7.390691404
120.0018219,7.422257196
120.0957674,7.453947903
120.1897865,7.485763948
120.2838792,7.517705754
120.3780455,7.549773744
120.4722855,7.581968343
120.5665994,7.614289976
120.660987,7.64673907
120.7554486,7.679316052
120.8499841,7.71202135
120.9445936,7.744855393
121.0392772,7.777818611
121.1340349,7.810911435
121.2288668,7.844134298
121.3237729,7.87748763
121.4187533,7.910971866
121.5138081,7.944587441
121.6089373,7.978334789
121.704141,8.012214346
121.7994192,8.04622655
121.894772,8.080371839
121.9901994,8.11465065
122.0857016,8.149063425
122.1812785,8.183610603
122.2769302,8.218292625
122.3726568,8.253109934
122.4684584,8.288062973
122.564335,8.323152186
122.6602866,8.358378017
122.7563133,8.393740912
122.8524152,8.429241318
122.9485924,8.464879681
123.0448448,8.50065645
123.1411726,8.536572074
123.2375758,8.572627003
123.3340545,8.608821687
123.4306087,8.645156577
123.5272385,8.681632127
123.623944,8.718248788
123.7207251,8.755007016
123.817582,8.791907264
123.9145148,8.828949988
124.0115234,8.866135645
124.108608,8.903464692
124.2057686,8.940937586
124.3030052,8.978554787
124.400318,9.016316754
124.497707,9.054223947
124.5951722,9.092276827
124.6927136,9.130475857
124.7903315,9.1688215
124.8880258,9.207314217
124.9857966,9.245954475
125.0836439,9.284742737
125.1815678,9.323679471
125.2795683,9.362765141
125.3776456,9.402000216
125.4757997,9.441385164
125.5740306,9.480920453
125.6723384,9.520606554
125.7707232,9.560443936
125.869185,9.60043307
125.9677239,9.640574429
126.0663399,9.680868485
126.1650331,9.721315711
126.2638036,9.761916581
126.3626514,9.80267157
